municipio,empregos,empresas,populacao
MORRO DA FUMACA,4135,259,18537.0
MORRO GRANDE,218,20,3010.0
NAVEGANTES,12205,581,86401.0
NOVA ERECHIM,871,47,5155.0
NOVA ITABERABA,384,43,4536.0
NOVA TRENTO,5095,322,13727.0
NOVA VENEZA,5492,211,13664.0
NOVO HORIZONTE,291,14,2643.0
ORLEANS,3808,225,23661.0
OTACILIO COSTA,3278,117,17312.0
OURO,347,56,7032.0
OURO VERDE,7,2,2181.0
PAIAL,141,10,1927.0
PAINEL,16,6,2215.0
PALHOCA,16859,1457,222598.0
PALMA SOLA,288,37,7605.0
PALMEIRA,422,41,2561.0
PALMITOS,1125,104,15626.0
PAPANDUVA,1363,105,19150.0
PARAISO,561,19,4267.0
PASSO DE TORRES,383,78,12897.0
PASSOS MAIA,269,26,4034.0
PAULO LOPES,992,88,9063.0
PEDRAS GRANDES,1260,39,4245.0
PENHA,2587,281,33663.0
PERITIBA,265,36,2992.0
PESCARIA BRAVA,391,66,10190.0
PETROLANDIA,450,54,6716.0
PINHALZINHO,4596,257,21972.0
PINHEIRO PRETO,1084,59,3473.0
PIRATUBA,214,50,5769.0
PLANALTO ALEGRE,194,20,2946.0
POMERODE,10742,338,34289.0
PONTE ALTA,390,29,4437.0
PONTE ALTA DO NORTE,590,54,3210.0
PONTE SERRADA,639,84,10649.0
PORTO BELO,3326,381,27688.0
PORTO UNIAO,3055,183,32970.0
POUSO REDONDO,2932,191,17123.0
PRAIA GRANDE,703,69,8270.0
PRESIDENTE CASTELLO BRANCO,5,4,1689.0
PRESIDENTE GETULIO,5673,262,20010.0
PRESIDENTE NEREU,115,14,2301.0
PRINCESA,494,14,2964.0
QUILOMBO,2132,45,11022.0
RANCHO QUEIMADO,244,29,3279.0
RIO DAS ANTAS,719,41,6253.0
RIO DO CAMPO,560,51,6452.0
RIO DO OESTE,879,84,7747.0
RIO DO SUL,10308,670,72587.0
RIO DOS CEDROS,2439,151,10865.0
RIO FORTUNA,498,67,4847.0
RIO NEGRINHO,6554,366,39261.0
RIO RUFINO,118,9,2397.0
RIQUEZA,386,31,4768.0
RODEIO,1839,177,12757.0
ROMELANDIA,27,13,4823.0
SALETE,1667,93,7489.0
SALTINHO,255,20,3632.0
SALTO VELOSO,1089,38,4390.0
SANGAO,3587,159,12882.0
SANTA CECILIA,2967,149,15546.0
SANTA HELENA,277,18,2425.0
SANTA ROSA DE LIMA,138,30,2088.0
SANTA ROSA DO SUL,264,49,9792.0
SANTA TEREZINHA,254,36,8066.0
SANTA TEREZINHA DO PROGRESSO,75,10,2576.0
SANTIAGO DO SUL,97,15,1651.0
SANTO AMARO DA IMPERATRIZ,2003,231,27272.0
SAO BENTO DO SUL,14519,674,83277.0
SAO BERNARDINO,157,13,2684.0
SAO BONIFACIO,305,33,2946.0
SAO CARLOS,1457,71,10282.0
SAO CRISTOVAO DO SUL,597,57,6084.0
SAO DOMINGOS,445,47,9226.0
SAO FRANCISCO DO SUL,2720,175,52674.0
SAO JOAO BATISTA,5988,393,32687.0
SAO JOAO DO ITAPERIU,1002,50,4463.0
SAO JOAO DO OESTE,754,44,6295.0
SAO JOAO DO SUL,334,58,8668.0
SAO JOAQUIM,481,105,25939.0
SAO JOSE,20932,1458,270299.0
SAO JOSE DO CEDRO,1191,121,14167.0
SAO JOSE DO CERRITO,118,27,8708.0
SAO LOURENCO DO OESTE,5967,202,24791.0
SAO LUDGERO,4029,167,13509.0
SAO MARTINHO,336,39,3405.0
SAO MIGUEL DA BOA VISTA,21,9,1781.0
SAO MIGUEL DO OESTE,7063,345,44330.0
SAO PEDRO DE ALCANTARA,126,40,5776.0
SAUDADES,2242,74,10265.0
SCHROEDER,3348,182,20061.0
SEARA,5126,112,18620.0
SERRA ALTA,360,28,3303.0
SIDEROPOLIS,2638,126,13714.0
SOMBRIO,2667,267,29991.0
SUL BRASIL,158,16,2832.0
TAIO,2745,164,18310.0
TANGARA,1421,51,8143.0
TIGRINHOS,82,6,2329.0
TIJUCAS,8550,477,51592.0
TIMBE DO SUL,246,41,5386.0
TIMBO,10775,561,46099.0
TIMBO GRANDE,984,58,7342.0
TRES BARRAS,4303,90,19746.0
TREVISO,1208,32,3782.0
TREZE DE MAIO,1457,110,7362.0
TREZE TILIAS,2994,91,8787.0
TROMBUDO CENTRAL,1322,99,7274.0
TUBARAO,12045,1017,110088.0
TUNAPOLIS,249,35,4916.0
TURVO,2194,139,13043.0
UNIAO DO OESTE,151,11,2774.0
URUBICI,201,55,10834.0
URUPEMA,52,8,2656.0
URUSSANGA,4589,206,20919.0
VARGEAO,653,20,3634.0
VARGEM,94,12,2627.0
VARGEM BONITA,1376,22,4576.0
VIDAL RAMOS,297,29,6189.0
VIDEIRA,9951,377,55466.0
VITOR MEIRELES,466,70,5370.0
WITMARSUM,878,79,4255.0
XANXERE,4730,365,51607.0
XAVANTINA,37,14,3653.0
XAXIM,5799,194,31918.0
ZORTEA,30,13,3930.0
