municipio,def_mean,ppt_std,ws_std,dtr_mean
Bocaina do Sul,0.9806547619047619,45.3765642736059,0.4466004233852621,9.698809523809524
Massaranduba,1.6535714285714287,63.41960543315589,0.3485785063400625,8.65238095238095
Blumenau,1.9990740740740742,58.77965294024015,0.3683028194577832,8.86574074074074
Timbé do Sul,1.4421568627450982,42.127707405252025,0.47116456110144633,9.257352941176471
Lontras,1.8431818181818183,50.11457203260465,0.386613373078098,9.593181818181817
Ascurra,1.7458333333333333,51.648443911853036,0.3702122590409778,9.390277777777776
Tigrinhos,3.879166666666667,83.55258488304878,0.3874829203750809,12.289583333333333
Arroio Trinta,1.8483333333333334,53.95374881017891,0.4158414464250768,11.308333333333334
Lindóia do Sul,2.0231481481481484,77.76525441597404,0.38883436019606804,11.533333333333333
Tijucas,1.911309523809524,58.81727022687934,0.46980270490290643,8.301190476190476
Arvoredo,6.78125,91.56838500122635,0.32799278626817546,11.00625
Leoberto Leal,0.9093137254901961,50.41139181538818,0.44292569975179175,8.944117647058823
Treviso,1.9000000000000004,46.75139627212092,0.4713372094937649,10.155208333333334
Balneário Arroio do Silva,9.18888888888889,42.16662993460097,0.5303545847689671,9.025
Treze de Maio,6.421875000000001,55.42254032610546,0.5166521668663456,9.299999999999999
Major Gercino,1.0157407407407408,52.272249782381195,0.4378752003319641,8.415740740740741
Balneário Camboriú,1.8833333333333335,60.80659851251774,0.5244698371186085,9.283333333333331
Macieira,1.4988095238095238,51.879631394704596,0.41726919941447166,11.413690476190476
Luzerna,1.7444444444444445,63.32336192122374,0.4264183838530915,11.179166666666667
Timbó,1.7430555555555556,54.748228901745335,0.36461544175029,9.118055555555555
Luiz Alves,1.8113095238095238,62.990476383756956,0.394189949156302,8.727380952380951
Três Barras,4.615151515151515,48.62166301962574,0.3844014840987029,11.91780303030303
Atalanta,1.3333333333333333,46.47779243467939,0.404688805439248,9.784999999999998
Mafra,3.286486486486487,48.26827048280369,0.38778406068349197,11.639414414414414
Timbó Grande,1.6736979166666668,46.65955584475046,0.37370395877058776,11.628124999999999
Aurora,1.32,48.69015843142223,0.3954327338922747,9.649166666666664
Siderópolis,2.0160714285714287,45.993238474739165,0.4645198666190217,9.970238095238097
Laguna,6.454824561403509,63.690952336597476,0.567288880273576,6.807894736842106
