municipio,hhi
NOVA VENEZA,0.25992677424197497
NOVO HORIZONTE,0.3883161512027491
ORLEANS,0.3771367002683427
OTACILIO COSTA,0.25628322155096134
OURO,0.17095898147148467
OURO VERDE,0.7551020408163265
PAIAL,0.6122931442080378
PAINEL,0.21875
PALHOCA,0.0922281915628929
PALMA SOLA,0.12372202932098765
PALMEIRA,0.23412546887985447
PALMITOS,0.1741819259259259
PAPANDUVA,0.17802051815914682
PARAISO,0.6572138497272186
PASSO DE TORRES,0.21954611456891793
PASSOS MAIA,0.5431793369356421
PAULO LOPES,0.1320625487773153
PEDRAS GRANDES,0.24693247669438145
PENHA,0.12318035122237814
PERITIBA,0.299935920256319
PESCARIA BRAVA,0.12063631190272173
PETROLANDIA,0.1768098765432099
PINHALZINHO,0.18107223824251
PINHEIRO PRETO,0.20048235998965158
PIRATUBA,0.1443357498471482
PLANALTO ALEGRE,0.24572218089063663
POMERODE,0.17589828228935603
PONTE ALTA,0.4580276134122288
PONTE ALTA DO NORTE,0.440063200229819
PONTE SERRADA,0.3255551392164498
PORTO BELO,0.20881652202494314
PORTO UNIAO,0.21580473640647058
POUSO REDONDO,0.13947707844381702
PRAIA GRANDE,0.1329134030339391
PRESIDENTE CASTELLO BRANCO,0.3600000000000001
PRESIDENTE GETULIO,0.2955659194351142
PRESIDENTE NEREU,0.2502079395085066
PRINCESA,0.815084659640381
QUILOMBO,0.8600548595686563
RANCHO QUEIMADO,0.33871943026068263
RIO DAS ANTAS,0.18708374519547896
RIO DO CAMPO,0.19124999999999998
RIO DO OESTE,0.2302324106538483
RIO DO SUL,0.1306585833096544
RIO DOS CEDROS,0.17284572599723538
RIO FORTUNA,0.24330252737859065
RIO NEGRINHO,0.13459954152861106
RIO RUFINO,0.5495547256535478
RIQUEZA,0.27573894601197346
RODEIO,0.173327230293079
ROMELANDIA,0.13305898491083673
SALETE,0.39658978822112
SALTINHO,0.6593925413302576
SALTO VELOSO,0.4149070637926135
SANGAO,0.298349389025155
SANTA CECILIA,0.2788133801668937
SANTA HELENA,0.22383974768340523
SANTA ROSA DE LIMA,0.45641671917664356
SANTA ROSA DO SUL,0.35689279155188247
SANTA TEREZINHA,0.24161448322896645
SANTA TEREZINHA DO PROGRESSO,0.3653333333333334
SANTIAGO DO SUL,0.30088213412689974
SANTO AMARO DA IMPERATRIZ,0.11642122437910783
SAO BENTO DO SUL,0.13051329872580852
SAO BERNARDINO,0.39689236885877727
SAO BONIFACIO,0.4818382155334588
SAO CARLOS,0.4846190190635321
SAO CRISTOVAO DO SUL,0.2250420163351655
SAO DOMINGOS,0.21600807978790557
SAO FRANCISCO DO SUL,0.16276789576124567
SAO JOAO BATISTA,0.4964842287558863
SAO JOAO DO ITAPERIU,0.35379938725343724
SAO JOAO DO OESTE,0.5399918384003265
SAO JOAO DO SUL,0.22352898992434295
SAO JOAQUIM,0.11852905200098549
SAO JOSE,0.10556524764984769
SAO JOSE DO CEDRO,0.2981492173670286
SAO JOSE DO CERRITO,0.2579718471703533
SAO LOURENCO DO OESTE,0.38771454833324526
SAO LUDGERO,0.34640522875817
SAO MARTINHO,0.297672193877551
SAO MIGUEL DA BOA VISTA,0.5328798185941044
SAO MIGUEL DO OESTE,0.3123490895806795
SAO PEDRO DE ALCANTARA,0.15621063240110858
SAUDADES,0.21779609291754765
SCHROEDER,0.12187236375003747
SEARA,0.7836573745438592
SERRA ALTA,0.29935185185185187
SIDEROPOLIS,0.12393081578446695
SOMBRIO,0.3598466108496843
SUL BRASIL,0.42997917000480695
TAIO,0.1743018769015365
TANGARA,0.5058113419844387
TIGRINHOS,0.6484235574063059
TIJUCAS,0.18428267159125886
TIMBE DO SUL,0.23868067948972171
TIMBO,0.09184476827751789
TIMBO GRANDE,0.3067659792451583
TRES BARRAS,0.3511184955515581
TREVISO,0.6608742489364502
TREZE DE MAIO,0.3386255923054349
TREZE TILIAS,0.4421394559325732
TROMBUDO CENTRAL,0.2571654830049368
TUBARAO,0.06162743454952466
TUNAPOLIS,0.15620715794906534
TURVO,0.14145606356608603
UNIAO DO OESTE,0.3842375334415157
URUBICI,0.14299151011113587
URUPEMA,0.3779585798816567
URUSSANGA,0.16941926891695924
VARGEAO,0.5237342551400183
VARGEM,0.695789950203712
VARGEM BONITA,0.8011995504326663
VIDAL RAMOS,0.3174392635672096
VIDEIRA,0.2968950732673105
VITOR MEIRELES,0.6549853561494963
WITMARSUM,0.4184598460987645
XANXERE,0.11397762471561576
XAVANTINA,0.28707085463842225
XAXIM,0.35116980435674
ZORTEA,0.29333333333333333
