municipio,empregos,empresas,populacao,empregos_pc,empresas_pc,exposure_index_pc
BOTUVERA,2160,77,5363.0,0.7764553439238581,0.5962902014622208,0.6863727726930394
BRACO DO NORTE,7166,384,33773.0,0.4063307606995302,0.463745742308386,0.43503825150395814
BRACO DO TROMBUDO,845,36,4026.0,0.40187247467327303,0.35602136587266786,0.37894692027297044
BRUNOPOLIS,142,8,2489.0,0.10505022324569593,0.10191171180996059,0.10348096752782826
BRUSQUE,28657,1801,141385.0,0.3878930580015707,0.524447326225948,0.45617019211375937
CACADOR,14472,465,73720.0,0.37550755806797365,0.23915448876937512,0.30733102341867435
CAIBI,645,54,6304.0,0.192959888564592,0.33934518469440256,0.2661525366294973
CALMON,222,27,3443.0,0.1194755137936302,0.3072254664611338,0.213350490127382
CAMBORIU,6408,772,103074.0,0.11498976716310387,0.2915987038741118,0.20329423551860784
CAMPO ALEGRE,4741,106,12501.0,0.7307962942309016,0.335500170483851,0.5331482323573763
CAMPO BELO DO SUL,519,33,7257.0,0.13314508104925893,0.16105843691867278,0.14710175898396585
CAMPO ERE,1052,67,9623.0,0.20656521865155422,0.2682060972640584,0.2373856579578063
CAMPOS NOVOS,5433,196,36932.0,0.27995140778677574,0.194763112928317,0.23735726035754637
CANELINHA,1570,209,12821.0,0.23207278983490814,0.6825239909171074,0.4572983903760077
CANOINHAS,3916,264,55016.0,0.1324889138847079,0.17220599116182442,0.15234745252326615
CAPAO ALTO,202,12,2625.0,0.1437009009010414,0.16212740431635914,0.15291415260870028
CAPINZAL,6275,164,23314.0,0.5169734170034812,0.2713965548823788,0.39418498594293
CAPIVARI DE BAIXO,2082,150,23975.0,0.16290466276619245,0.236885968975106,0.19989531587064924
CATANDUVAS,1105,98,10566.0,0.1973582704935165,0.37080172450496457,0.2840799974992405
CAXAMBU DO SUL,266,22,4614.0,0.10621472183315067,0.1708525575804769,0.1385336397068138
CELSO RAMOS,108,19,2805.0,0.0690272352464395,0.2598270491361332,0.16442714219128635
CERRO NEGRO,40,14,3317.0,0.017670813685034086,0.1465665850464463,0.08211869936574019
CHAPADAO DO LAGEADO,31,8,2950.0,0.014659344630202194,0.07962827338903584,0.04714380900961902
CHAPECO,38371,2007,254785.0,0.2867357681884701,0.3087885065848538,0.2977621373866619
COCAL DO SUL,3620,192,17240.0,0.40204931466289007,0.4534026131907572,0.4277259639268236
CONCORDIA,11776,563,81646.0,0.2743663171906209,0.2652397293868766,0.2698030232887487
CORDILHEIRA ALTA,831,75,4781.0,0.33181516108711934,0.6552713446266066,0.49354325285686296
CORONEL FREITAS,1194,101,10388.0,0.21747775257973548,0.3906648911172286,0.304071321848482
CORONEL MARTINS,16,7,2065.0,0.009298549206677217,0.10970608153962245,0.05950231537314984
CORREIA PINTO,1729,85,15727.0,0.20776331807784174,0.19909609571641515,0.20342970689712844
CORUPA,3421,146,15267.0,0.4294355876121214,0.38358218686835754,0.4065088872402395
CRICIUMA,24884,1469,214493.0,0.21956123991999246,0.2631583911127481,0.24135981551637026
CUNHA PORA,1282,90,10953.0,0.2215663709230454,0.3238590869831993,0.2727127289531224
CUNHATAI,101,12,1968.0,0.09392213813938406,0.22983391287275803,0.16187802550607105
CURITIBANOS,3577,238,40045.0,0.1677289700537656,0.22299077162108646,0.19535987083742604
DESCANSO,267,49,8530.0,0.0550413352730873,0.21416740234397516,0.13460436880853122
DIONISIO CERQUEIRA,344,59,15008.0,0.03876607943143451,0.13372543992746766,0.08624575967945108
DONA EMMA,863,74,4221.0,0.39132326441773796,0.7370931032450001,0.5642081838313691
DOUTOR PEDRINHO,710,79,3637.0,0.3733818645917004,0.9229729645554839,0.6481774145735921
ENTRE RIOS,15,6,3402.0,0.0028138096700978383,0.03756177980276565,0.020187794736431744
ERMO,546,20,2269.0,0.461590301119532,0.3503683146704731,0.40597930789500253
ERVAL VELHO,285,46,4885.0,0.10755717681095543,0.3770814794800982,0.2423193281455268
FAXINAL DOS GUEDES,1374,62,11192.0,0.23267662165567252,0.20508326267474744,0.21887994216520998
FLOR DO SERTAO,238,7,1783.0,0.25348952980880646,0.13349167295427591,0.19349060138154117
FLORIANOPOLIS,19210,1732,537211.0,0.06369824816293287,0.10235167053608696,0.08302495934950992
FORMOSA DO SUL,53,13,2682.0,0.03262951470201241,0.17435878996174467,0.10349415233187854
FORQUILHINHA,5910,258,31431.0,0.359427954876146,0.3234833063113541,0.34145563059375006
FRAIBURGO,2991,201,33481.0,0.16774788496815063,0.22565670123426163,0.19670229310120613
FREI ROGERIO,56,5,2411.0,0.03935991549703711,0.051321949584108,0.04534093254057255
GALVAO,170,21,3210.0,0.09710402444721938,0.24955383438931258,0.173328929418266
GAROPABA,1561,135,29959.0,0.09544359830827853,0.159231709099569,0.12733765370392375
GARUVA,2606,146,18545.0,0.2671623103390081,0.30858940450892325,0.2878758574239657
GASPAR,15067,1107,72570.0,0.3974725912383142,0.6360677241748883,0.5167701577066013
GOVERNADOR CELSO RAMOS,503,92,16915.0,0.05200315302053988,0.2006152119977212,0.12630918250913054
GRAO-PARA,1328,71,6277.0,0.4051357912645815,0.46113294943256855,0.43313437034857505
GRAVATAL,1184,145,12435.0,0.17916919616718194,0.4766384093598066,0.3279038027634943
GUABIRUBA,5885,466,24543.0,0.4599367800739462,0.8016745941544812,0.6308056871142137
GUARACIABA,1136,82,10796.0,0.19860787719111295,0.29628544536370416,0.24744666127740855
GUARAMIRIM,9014,464,46711.0,0.36902760998785755,0.400010922276306,0.38451926613208176
GUARUJA DO SUL,538,48,4829.0,0.21062192784633993,0.4003004363264559,0.30546118208639794
GUATAMBU,4363,67,8425.0,1.0,0.3121288378765081,0.6560644189382541
HERVAL D OESTE,1921,109,21724.0,0.16598696416410888,0.18191691214604136,0.17395193815507512
IBIAM,120,18,2008.0,0.11031321602907873,0.35700917544708516,0.23366119573808194
IBICARE,189,24,3269.0,0.10653559245926238,0.2850296160484716,0.19578260425386698
IBIRAMA,3806,245,19862.0,0.36640260265322255,0.5065614230451849,0.43648201284920374
ICARA,10323,527,59035.0,0.33385313640237896,0.3553572240788846,0.3446051802406318
ILHOTA,2365,233,17046.0,0.26370374720676376,0.5657344241113905,0.4147190856590771
IMARUI,470,50,11881.0,0.07107866151147409,0.14602172482892176,0.10855019317019793
IMBITUBA,2116,248,52579.0,0.07240948314212209,0.16857286956784887,0.12049117635498548
IMBUIA,193,32,5982.0,0.05690997296603538,0.19664110376022467,0.12677553836313002
INDAIAL,13568,873,71549.0,0.3625379669840764,0.5006305687228816,0.43158426785347903
IOMERE,464,29,2877.0,0.30747291505249547,0.4065114250902495,0.3569921700713725
IPIRA,113,28,4578.0,0.04218839097164308,0.23066118159473376,0.1364247862831884
IPORA DO OESTE,461,64,9335.0,0.09016007225985875,0.263478271575696,0.17681917191777735
IPUACU,1713,17,7730.0,0.42463092272174463,0.05688509245240209,0.24075800758707336
IPUMIRIM,2496,34,7816.0,0.6144545623166503,0.15230604779179668,0.3833803050542235
IRACEMINHA,120,19,3986.0,0.052718722313373476,0.17078983893525687,0.11175428062431517
IRANI,341,49,10195.0,0.05921003935787054,0.17254642617988677,0.11587823276887865
IRATI,176,6,2069.0,0.15945700502697743,0.08797272088948857,0.123714862958233
IRINEOPOLIS,218,35,10285.0,0.03541556139292987,0.11029096842636212,0.072853264909646
ITA,611,52,7067.0,0.1621622457469099,0.28575936216068026,0.22396080395379508
ITAIOPOLIS,3004,101,22051.0,0.25882403852919,0.1625205902508244,0.21067231439000722
ITAJAI,28393,1709,264054.0,0.2030807397673688,0.24645295556470817,0.2247668476660385
ITAPEMA,11122,1151,75940.0,0.27868812353594613,0.6317406231208303,0.4552143733283882
ITAPIRANGA,4951,100,16638.0,0.5721687283870809,0.2259642761642303,0.3990665022756556
ITAPOA,670,112,30750.0,0.036566654525996535,0.12090578571276771,0.07873622011938212
ITUPORANGA,2680,225,26525.0,0.1904754756754367,0.33564399950397245,0.2630597375897046
JABORA,379,31,4310.0,0.1650304527310875,0.2784139729643165,0.221722212847702
JACINTO MACHADO,971,62,10624.0,0.1717536635186754,0.21822287242930477,0.1949882679739901
JAGUARUNA,2278,180,20375.0,0.21138605427499702,0.35125117889617385,0.28131861658558543
JARAGUA DO SUL,39687,1432,182660.0,0.41621844485420145,0.3071236014768736,0.36167102316553756
JARDINOPOLIS,93,20,1776.0,0.09594917295766192,0.45892027301771704,0.27743472298768945
JOACABA,4043,225,30146.0,0.25471516731752525,0.29044132195088807,0.27257824463420666
JOINVILLE,89275,3442,616317.0,0.2755704028045229,0.20708487469378703,0.24132763874915497
JOSE BOITEUX,624,62,5985.0,0.1967366409618133,0.41890192890216915,0.30781928493199123
JUPIA,79,14,2555.0,0.05430037188000753,0.20241165460649901,0.12835601324325327
LACERDOPOLIS,150,21,2248.0,0.12384007482348394,0.3737565903705063,0.24879833259699513
LAGES,13595,915,164981.0,0.15428744928441113,0.20536817288817658,0.17982781108629387
LAGUNA,1594,179,42785.0,0.06660614679847458,0.14492632668031172,0.10576623673939314
LAJEADO GRANDE,103,16,1702.0,0.1117816136750233,0.3763771303012864,0.24407937198815485
LAURENTINO,1202,102,7932.0,0.2885547239685489,0.5298170705718327,0.40918589727019083
LAURO MULLER,1556,75,14381.0,0.20438403143253853,0.19068881789945236,0.19753642466599544
LEBON REGIS,630,59,11472.0,0.10090438255004201,0.18748311943947882,0.14419375099476042
LEOBERTO LEAL,22,8,3330.0,0.007081477183355418,0.06589906366264194,0.036490270422998676
LINDOIA DO SUL,132,32,4549.0,0.050605699127369105,0.2714015746859394,0.16100363690665426
LONTRAS,2063,184,12873.0,0.30548961779698164,0.5934440610670597,0.4494668394320207
LUIZ ALVES,3120,164,11684.0,0.512856634563039,0.5820337295599608,0.5474451820614998
LUZERNA,1028,66,5794.0,0.33882990233135035,0.4646802826678781,0.4017550924996142
MACIEIRA,109,16,1778.0,0.11331160642607224,0.3585500398608425,0.23593082314345737
MAFRA,4827,314,55286.0,0.1638158389309187,0.21128927326768257,0.18755255609930063
MAJOR GERCINO,260,33,3214.0,0.1513600083400308,0.4148358061039898,0.2830979072220103
MAJOR VIEIRA,340,32,7425.0,0.08318246368578688,0.15051873030961035,0.11685059699769862
MARACAJA,782,61,7815.0,0.18858623065627986,0.3056063291230977,0.2470962798896888
MARAVILHA,5821,213,28251.0,0.3944148802972067,0.29380769158526465,0.3441112859412357
MAREMA,24,14,2184.0,0.015592600513649862,0.24370657297973589,0.12964958674669289
MASSARANDUBA,3313,245,17162.0,0.36916152094778315,0.5926562740006643,0.4809088974742237
MATOS COSTA,106,19,2761.0,0.06881207479337303,0.2646160532532558,0.16671406402331443
MELEIRO,483,73,7006.0,0.1281417169088282,0.421581955518978,0.2748618362139031
MIRIM DOCE,267,18,2511.0,0.20075970215490316,0.2773440445294511,0.23905187334217715
MODELO,593,45,4080.0,0.2765234591934626,0.448634324118843,0.3625788916561528
MONDAI,1686,55,10066.0,0.31954397275963264,0.20172337758545147,0.26063367517254205
MONTE CARLO,570,45,9117.0,0.11567268934664396,0.178294173176202,0.146983431261423
MONTE CASTELO,304,46,7736.0,0.07056950660634456,0.22311994707124236,0.14684472683879346
MORRO DA FUMACA,4135,259,18537.0,0.4274726978866086,0.579184045087701,0.5033283714871548
MORRO GRANDE,218,20,3010.0,0.13490870064406577,0.25409954591702333,0.19450412328054456
