municipio,hazard_index,exposure_index_pc,vulnerability_index,def_mean,ppt_std,ws_std,dtr_mean,empregos_pc,empresas_pc,climate_risk_index,risk_norm,rank_risk
ABDON BATISTA,0.5213231329171638,0.0526237900822826,0.5238491060651941,0.3083651979063592,0.452119882275685,0.4212747308372997,0.5977650504635933,0.0263949854306831,0.0788525947338821,0.014371275910442046,0.05781213034982581,278.0
ABELARDO LUZ,0.7102156522460894,0.1928273511818515,0.486409264452303,0.073059394379424,0.5825299169778242,0.4034701976026431,0.9245331418017648,0.2375731284792371,0.1480815738844658,0.06661326381208749,0.2693178258199489,89.0
AGROLANDIA,0.3900823654565672,0.555212287810614,0.3466590437952188,0.0769581621635039,0.0910257378159956,0.3191843608370027,0.5266981325672072,0.464846352508825,0.6455782231124031,0.07507890353713262,0.3035916176407379,64.0
AGRONOMICA,0.3862370146311025,0.3115047114081995,0.3902316870939612,0.0862494259863726,0.1208421385281146,0.2945632227580155,0.5176482659552635,0.2020936500077012,0.4209157728086978,0.04695058876492017,0.18971197757995165,163.0
AGUA DOCE,0.5833433485711529,0.2144455481157819,0.3085864723907142,0.074077473578084,0.2768907966855594,0.4907726222778178,0.7650011792055523,0.1559939566407408,0.272897139590823,0.03860274329919778,0.15591508485395497,193.0
AGUAS DE CHAPECO,0.6998773761694597,0.0995728580970652,0.4531379730145333,0.802371072747005,0.76430961720151,0.0838841946411818,0.7389698337779598,0.063428011303603,0.1357177048905273,0.03157863734271548,0.127477453074349,227.0
AGUAS FRIAS,0.6653466701627991,0.2352163116568169,0.3818347751356592,0.5027118265423901,0.6857596092192458,0.1747287673220013,0.7919146316437512,0.1673237986289044,0.3031088246847294,0.05975729112075401,0.24156089446169582,111.0
AGUAS MORNAS,0.432312919597005,0.2549184384561709,0.358961871830479,0.0383650132243594,0.1860042307660587,0.6045271476567604,0.2114983745018198,0.1031219186551144,0.4067149582572274,0.03955922594815758,0.1597874782294562,187.0
ALFREDO WAGNER,0.4445811331325092,0.1046417742117454,0.3752263513556345,0.0266295042708977,0.1345532662138924,0.5999234896324207,0.3958488464131803,0.0340898624571548,0.1751936859663361,0.017456189720134987,0.07030164055018213,267.0
ALTO BELA VISTA,0.5693460642688509,0.1392851484375539,0.4768347679976474,0.5658595311084358,0.636497506657067,0.1702630257882291,0.6361584239688076,0.1041223815199717,0.1744479153551362,0.037813689024759026,0.15272053809602837,199.0
ANCHIETA,0.7433612080120857,0.1998270461413119,0.3681460604198998,0.1999920362073315,0.7282671689157886,0.3628742512986213,0.9311512415349888,0.1566653121655661,0.2429887801170578,0.054685768535476235,0.22102844624186407,126.0
ANGELINA,0.3821224052414668,0.1351820299389516,0.3310367770886603,0.0393363092406196,0.1713472959886734,0.5084239128935357,0.3041760722347631,0.0460838715160574,0.2242801883618458,0.01710006304322864,0.06885983438047151,268.0
ANITA GARIBALDI,0.5103821184317051,0.1070363177503379,0.4885177267812768,0.371582356475908,0.4310241812342957,0.41998201245224,0.5720936794582394,0.0941106930044562,0.1199619424962195,0.026687441345169753,0.10767507087769053,245.0
ANITAPOLIS,0.4643211724825146,0.135250245032377,0.4352841700284367,0.0403021099470282,0.1689326316749994,0.6380462011957403,0.3151036322593881,0.1012750052546971,0.1692254848100569,0.027335651023689275,0.110299397484937,242.0
