municipio,risk_norm
PORTO UNIAO,0.17044925411880732
MAJOR GERCINO,0.1688286930856062
CRICIUMA,0.16848935843957485
MELEIRO,0.16764815342441336
SCHROEDER,0.1665094637974302
ANTONIO CARLOS,0.1657478553788614
MATOS COSTA,0.1644912491948754
BELMONTE,0.1624453797157262
ARARANGUA,0.16144781592866297
RIO DO SUL,0.16089151037230492
IRACEMINHA,0.16075127784181747
AGUAS MORNAS,0.1597874782294562
BOM JESUS,0.15894595104545423
IRATI,0.1583948266115843
CAMPOS NOVOS,0.1579965638374359
MONTE CARLO,0.15697249821087036
OURO,0.15647520515058977
AGUA DOCE,0.15591508485395497
RIO DO CAMPO,0.15584416241726656
PESCARIA BRAVA,0.15543796661154768
IBICARE,0.15531422822692037
CUNHATAI,0.15495316421415437
SAO DOMINGOS,0.15305663131189776
ALTO BELA VISTA,0.15272053809602837
CAMBORIU,0.14805723095887846
CANOINHAS,0.14733115796353727
RANCHO QUEIMADO,0.14664555218213401
UNIAO DO OESTE,0.14429785608351792
SAO MIGUEL DA BOA VISTA,0.14425657031390487
DESCANSO,0.14409239007289798
BOM JESUS DO OESTE,0.14244947990423212
GARUVA,0.14208833872492016
TIMBE DO SUL,0.14175923915569666
BALNEARIO RINCAO,0.13931976288086667
JARAGUA DO SUL,0.13897032662133188
MAFRA,0.13836892107655074
NAVEGANTES,0.1374499864976328
SANTO AMARO DA IMPERATRIZ,0.13438675683486465
PRAIA GRANDE,0.13423661576841017
BALNEARIO PICARRAS,0.13401947166243774
PAPANDUVA,0.13389806642741314
PALHOCA,0.1321523048816504
SANTA TEREZINHA DO PROGRESSO,0.13207767910959822
MORRO GRANDE,0.13189417743394444
ATALANTA,0.13093029286225333
CELSO RAMOS,0.1308980792832069
VARGEM,0.13081782959176175
BIGUACU,0.13061680051389418
ITUPORANGA,0.1301917060837739
PALMA SOLA,0.1301406310116966
ARVOREDO,0.12752393678007906
AGUAS DE CHAPECO,0.127477453074349
JACINTO MACHADO,0.12488532599329058
GAROPABA,0.12316999533561529
VIDAL RAMOS,0.12259784832243284
MONTE CASTELO,0.12227091740429348
PETROLANDIA,0.12117290218353145
MAJOR VIEIRA,0.1184359320406965
IMARUI,0.11802390966171912
IPIRA,0.11772096804163559
LEBON REGIS,0.11697145482528881
LAGUNA,0.11622991708599027
MAREMA,0.11195661998678955
BLUMENAU,0.11157503324597923
JOINVILLE,0.11140519016247125
SAO JOAO DO SUL,0.11031895164553991
ANITAPOLIS,0.110299397484937
PASSO DE TORRES,0.11005426777947301
LAGES,0.108194346453477
ANITA GARIBALDI,0.10767507087769053
GOVERNADOR CELSO RAMOS,0.1070337368553213
BOCAINA DO SUL,0.10644230083540522
SAO JOSE,0.10590163219272347
CAMPO BELO DO SUL,0.10582928815627227
FORMOSA DO SUL,0.10487527413455912
BARRA VELHA,0.10189376240745407
BOM RETIRO,0.10188222830207684
IMBITUBA,0.10135154579751497
TIGRINHOS,0.10068870670440605
IRANI,0.10041622529577399
CAPAO ALTO,0.0999497101763369
RIO RUFINO,0.09809134474599462
BALNEARIO GAIVOTA,0.0976389239474979
SAO PEDRO DE ALCANTARA,0.09405686107397271
