municipio,ano,hazard_index,exposure_index,vulnerability_index,climate_risk_index,risk_norm,rank_risk,hazard_mean,hazard_max,def_mean,ppt_std,ws_std,dtr_mean,empregos_pc,empresas_pc,empregos_pc_norm,empresas_pc_norm,energia_pc,pib_real_pc,agro_real_pc,energia_pc_norm,pib_pc_inv,agro_pc_norm
ABDON BATISTA,2002,0.483617411832923,0.0135968714196518,0.391173169559982,0.00257223106037801,0.014387518963698928,282.0,0.3699751588427446,0.5972596648231014,2.856060606060606,45.85932559228184,0.2971125070291921,10.490909090909092,0.0018177852104995,0.0003635570420999,0.0037336529286403,0.0234600899106633,0.0202922998618483,25.507438057838307,8.49505271679474,0.0018851526190464,0.868392421558512,0.3032419345023876
ABDON BATISTA,2003,0.5041463880389957,0.0138615572225846,0.3768949601940985,0.0026338377155540097,0.012913856736323557,285.0,0.3944826341241366,0.6138101419538547,5.867424242424242,54.19314633975234,0.5022005676351783,11.465909090909092,0.0018258837277242,0.0003651767455448,0.0033565805364283,0.0243665339087409,0.0193182150160677,25.86535860685916,10.191800108782214,0.0016175594499836,0.8724346812310051,0.2566326399013069
ABDON BATISTA,2004,0.5801523172494907,0.0138849708891359,0.3766945287163142,0.0030344243668965244,0.014799192634178518,286.0,0.5335196223270178,0.6267850121719636,9.393939393939394,68.72331027580717,0.3519654758540454,11.11060606060606,0.0014672437825544,0.0003668109456386,0.002466146713027,0.0253037950652447,0.0217757317878365,22.492643649467343,7.783463594539844,0.0017763588558552,0.9257502348282234,0.202556992464864
ABDON BATISTA,2005,0.5620198413791724,0.0,0.3765159555597893,0.0,0.0,288.0,0.5115886222239905,0.6124510605343543,12.656060606060606,64.64767268973074,0.3793726347114639,11.012878787878789,0.0,0.0,0.0,0.0,0.0251525423728813,19.95368802546844,4.9670425026113145,0.0023479739137789,0.9506538249801826,0.1765460677854065
ABDON BATISTA,2006,0.4971921884094106,0.0,0.3844419831142222,0.0,0.0,289.0,0.3756620586745381,0.6187223181442831,9.675757575757576,38.051721078335504,0.3979056578075164,11.353787878787877,0.0,0.0,0.0,0.0,0.0215759863794507,22.633123775129665,5.742869339316231,0.0019174592131869,0.9303640165768562,0.2210444735526235
ABDON BATISTA,2007,0.4402589391271132,0.0,0.4134576727884265,0.0,0.0,290.0,0.2614112004845198,0.6191066777697066,0.0,39.325975192207686,0.3536004897797551,11.135606060606062,0.0,0.0,0.0,0.0,0.0219333729922665,29.179902961508663,11.501114253195151,0.0018565300054584,0.8897959686302986,0.3487205197295223
ABDON BATISTA,2008,0.5438367920032784,0.0,0.4228292682609553,0.0,0.0,293.0,0.480442198144983,0.6072313858615737,6.815909090909092,68.0645666123148,0.5460180032760872,11.221969696969698,0.0,0.0,0.0,0.0,0.022003436169418,35.950970047680656,16.9056796090401,0.0016879034375257,0.8347982185771516,0.4320016827681887
ABDON BATISTA,2009,0.6404214961545704,0.0117205703293284,0.3983836911452325,0.002990309890160245,0.009705962388348923,292.0,0.5718059966871144,0.7090369956220266,7.173484848484849,71.69569690835051,0.3399655562572232,11.099999999999998,0.0003752063634999,0.0003752063634999,0.0009125897346541,0.0225285509240026,0.024831157136425,35.3337672889988,14.993217364848544,0.0021223392272532,0.9151281851071664,0.277900549101278
ABDON BATISTA,2010,0.4399340046822889,0.0209333636857312,0.4223177165208614,0.003889249920768599,0.01676034783035862,289.0,0.2950169189244931,0.5848510904400847,1.812121212121212,39.84378601189356,0.1969880147988949,10.655303030303031,0.0007538635506973,0.0007538635506973,0.0013156193608183,0.0405511080106441,0.0323595929136826,33.5904084993218,12.551624000422567,0.0028606163240164,0.9467054758762732,0.3173870573622946
ABDON BATISTA,2011,0.581886401831631,0.027410387134817,0.4482085577118256,0.0071488061706402066,0.03816844760517277,278.0,0.4795319398120533,0.6842408638512086,6.183333333333334,63.44246252482798,0.5047436141029208,10.678030303030305,0.0022655045467417,0.0011327522733708,0.0031048975357046,0.0517158767339294,0.2764474371479815,41.615031523856615,14.504420948218977,0.0239812027967986,0.9106412093376632,0.4100032610010148
ABDON BATISTA,2012,0.5789673724252048,0.0504639693276738,0.4646623507546195,0.013576036056354258,0.08164304657817113,239.0,0.4910959707964684,0.6668387740539411,22.15833333333333,64.51842491973477,0.3482767555410527,11.380303030303027,0.0079430120405976,0.0018911933429994,0.0122751805831859,0.0886527580721617,2.834779297736872,49.533473801892704,12.957543932737837,0.2182105282664924,0.8072160113742738,0.3685605126230921
ABDON BATISTA,2013,0.6212231962642778,0.074108701915248,0.4637682530730125,0.02135098355372326,0.10279383233318008,181.0,0.4997151905974923,0.7427312019310632,7.208333333333334,81.97873051828532,0.4758551525810742,11.13030303030303,0.0140191342237378,0.0030311641564838,0.0251913058051165,0.1230260980253796,2.720610400682012,48.54440782931629,16.83622082428014,0.1907955704508363,0.7716614191673588,0.4288477696008426
ABDON BATISTA,2014,0.6058372281446847,0.1170946112887122,0.4251148605452972,0.030157765000518356,0.13874452020516362,160.0,0.4639667569248336,0.7477076993645358,3.172727272727273,112.80697523210414,0.2805509020936337,10.734848484848484,0.0550354251012145,0.0030364372469635,0.1050513326036213,0.1291378899738033,0.2198813259109311,42.73157977253888,16.53877440317162,0.014035753622931,0.8164297361351809,0.4448790918777796
ABDON BATISTA,2015,0.5034522599158244,0.2041003471415766,0.4441729865830819,0.045640897970469406,0.2649525622633918,84.0,0.4036741272876162,0.6032303925440327,1.41969696969697,82.3802520806057,0.3370819512289321,10.062878787878788,0.1231900129907163,0.0041823769842527,0.2280721902976739,0.1801285039854793,0.1166620829504768,40.25871900339717,15.432006494511691,0.0074644918442864,0.8762313807174094,0.4488230871875501
ABDON BATISTA,2016,0.4787191114576413,0.0926709632310885,0.4145238054395356,0.018389669296726946,0.0875943625631869,227.0,0.3454376660448945,0.6120005568703881,4.0613636363636365,44.05947347644522,0.3958683040912634,10.754545454545454,0.0175204722909921,0.0030470386593029,0.0456988446139937,0.1396430818481832,0.1018209864787659,38.24905877998077,17.120528485847014,0.0061553382961471,0.8785017889716229,0.3589142890508366
ABDON BATISTA,2017,0.5220767185372521,0.1020653406139636,0.4110019398605027,0.02190062392808207,0.1420458357393355,208.0,0.4326666095787941,0.6114868274957102,4.699242424242424,62.72766018209365,0.2770553311817906,10.75,0.0198403866331754,0.0034339130711265,0.0560125200974612,0.148118161130466,0.1057675749578709,36.000843304946414,17.15254646997469,0.0056945059511391,0.8673131241025701,0.3599981895277992
ABDON BATISTA,2018,0.5564715593385998,0.1689260625364181,0.3879888808693073,0.03647194395320472,0.19258042244537182,151.0,0.4891824742583272,0.6237606444188724,10.240909090909092,59.09489947442807,0.4016454529979167,10.663636363636364,0.0405147152503503,0.0053510001274047,0.1144516984065012,0.223400426666335,0.0913021888138616,34.59024256917681,13.765645285501854,0.004902288414446,0.8590475138862756,0.3000168403072004
ABDON BATISTA,2019,0.4951646420964791,0.1078322519541808,0.3773170083983754,0.02014673542807275,0.1194743909234725,215.0,0.3922681080722792,0.5980611761206791,8.362878787878788,55.95362457065824,0.3838932708524499,10.596969696969696,0.0187613668995884,0.0034459653489039,0.0553498018591903,0.1603147020491712,0.1102349306020867,35.47169476692076,11.999821128575796,0.0053590243781851,0.869749522358622,0.2568424784583189
ABDON BATISTA,2020,0.6154685967724839,0.140247788393924,0.3439732168271188,0.029691117803148773,0.12875314782628278,197.0,0.5139437602680172,0.7169934332769505,29.855303030303038,50.48742146556736,0.2392746104025387,11.488636363636363,0.0168765582049479,0.0046026976922585,0.048347011934559,0.232148564853289,0.3229501093140702,30.72490301092633,6.929098681035432,0.0162385788040524,0.8914059454026888,0.1242751262746151
ABDON BATISTA,2021,0.5800644239029424,0.1640322799495972,0.3496522903171335,0.03326916716021665,0.1487107980606288,179.0,0.434987537594126,0.7251413102117589,22.15833333333334,55.622309118915,0.3401543897033704,10.780303030303031,0.0311229227370241,0.0053792705965226,0.0811933494262401,0.2468712104729543,0.3140149210720118,32.95899766080641,7.8491616350028925,0.0135296769387723,0.9013946713488006,0.1340325226638276
ABDON BATISTA,2022,0.5219483079007861,0.0347571737891325,0.3876281273824739,0.007032135534329867,0.03696978287281572,285.0,0.4314265650967186,0.6124700507048535,14.751515151515152,60.67210540213466,0.2796453096839632,10.494696969696973,0.0111624326404926,0.0015396458814472,0.0220532870678753,0.0474610605103897,0.1491185527328714,44.65392991077368,24.73779922991662,0.0066985071598802,0.8385898389566471,0.3175960360308946
ABDON BATISTA,2023,0.5133204473276415,0.0448479363612651,0.3947881084783458,0.009088560256516404,0.03669601375255666,277.0,0.3967695539877461,0.6298713406675368,4.831818181818181,81.57852461549109,0.3393578857831889,10.23181818181818,0.0115473441108545,0.001924557351809,0.023558685661322,0.0661371870612081,0.166342571208622,44.64395688991532,22.718629715165516,0.0068714930083372,0.8592367985152779,0.318256033911422
ABELARDO LUZ,2002,0.6803893681477616,0.0607938701498014,0.3742569531098493,0.01548057856473571,0.08658907867959367,197.0,0.4328769733280309,0.9279017629674924,0.9944444444444446,55.86068053808304,0.2796836337052545,12.744097222222225,0.0136978035240164,0.001448225923244,0.0281347014751703,0.0934530388244325,0.0436024619840695,48.299987581421775,14.79605457563492,0.0040506643389732,0.5905558195479061,0.5281643754426685
ABELARDO LUZ,2003,0.7016910174811182,0.0644386616989389,0.3627015723927971,0.016399925211964185,0.08040976990458899,192.0,0.4779099023044748,0.9254721326577616,2.315625,78.41444561791424,0.3097496218598851,13.815277777777778,0.0155667748527467,0.0015025844452458,0.0286169007874436,0.1002604226104342,0.0480396682293544,54.149081532658336,21.2963004031448,0.0040224740874786,0.5478348938242332,0.5362473492666795
ABELARDO LUZ,2004,0.6689621283602654,0.0692789584869558,0.390876279248,0.01811516097413436,0.08834946086646338,207.0,0.4014652523955101,0.9364590043250208,3.059548611111111,58.97577436582202,0.2314473742337243,13.447569444444444,0.0234674329501915,0.0014367816091954,0.0394441150962245,0.099113801877687,0.0551105723180076,51.65726582583363,19.681423069407938,0.004495653883973,0.655943486311432,0.5121896975485951
ABELARDO LUZ,2005,0.7765895405196567,0.0579144224998195,0.3848183056124456,0.017307486043477725,0.0953736650708164,219.0,0.5531790810393133,1.0,7.47638888888889,99.5937006814636,0.2209059278683887,13.309548611111111,0.0156827668455575,0.0013714967203339,0.0239765377734966,0.0918523072261425,0.0564830053667263,49.1866565010837,14.155225038749778,0.0052726528080873,0.6460560439707377,0.5031262200585118
ABELARDO LUZ,2006,0.6622459416023019,0.0789086145834273,0.405979228677333,0.021215219919591667,0.08951963471761878,200.0,0.4124127933798496,0.9120790898247542,3.327430555555556,56.2217469260556,0.3555559338930957,13.574131944444442,0.0184723212164409,0.0016037063435495,0.0490638881119722,0.1087533410548824,0.0612200641482537,44.33935384769129,12.321233840952315,0.0054406307998397,0.7382496908969731,0.4742473643351862
ABELARDO LUZ,2007,0.6207833034403205,0.1020047125984671,0.3689823961523084,0.023365006759966823,0.09962625032572353,182.0,0.3078061313398106,0.9337604755408304,0.0241319444444444,41.92725712718273,0.2861633668182923,13.37795138888889,0.0308839190628328,0.0020115962607975,0.0750048103584537,0.1290046148384806,0.1078488936220565,62.32791873869518,17.31741782704384,0.0091287695301328,0.572744168547762,0.5250742503790301
ABELARDO LUZ,2008,0.6553317270058526,0.1095795544161418,0.3792121203690481,0.02723158589163193,0.12193211622878473,175.0,0.3934807199327703,0.917182734078935,1.5692708333333334,71.95190067806497,0.352410110805183,13.550694444444442,0.036067892503536,0.0022984441301272,0.0828263109035804,0.1363327979287033,0.1110947666195191,70.05178558944478,23.19833918678676,0.0085221797643056,0.5363121291402109,0.5928020522026279
ABELARDO LUZ,2009,0.7150294197166457,0.1226152017814457,0.3778595648461338,0.03312826170839639,0.10752787301112943,159.0,0.4941411958513782,0.9359176435819132,0.1986111111111111,78.92205710990473,0.3146648469759653,13.262847222222222,0.0428554655395092,0.0023482446870963,0.1042345272621942,0.1409958763006972,0.6319691792884818,75.76534080530307,20.25897039041204,0.0540149205391448,0.7040620482041333,0.3755017257951232
