municipio,ano,hazard_mean,hazard_max,hazard_index
Bocaina do Sul,2002,0.2679396432184544,0.4870943791763116,0.377517011197383
Massaranduba,2002,0.20508702626480974,0.34475214227703027,0.27491958427092
Blumenau,2002,0.26820216371474126,0.42591519983629517,0.34705868177551824
Timbé do Sul,2002,0.3569745034262148,0.6243824737663539,0.4906784885962844
Lontras,2002,0.34889051603525606,0.4803090519996666,0.41459978401746134
Ascurra,2002,0.3171769104462,0.4479771731376745,0.38257704179193724
Tigrinhos,2002,0.46337169476050166,0.8688474472638333,0.6661095710121675
Arroio Trinta,2002,0.3736351559917388,0.7433812289819631,0.5585081924868509
Lindóia do Sul,2002,0.49857646584969995,0.8001262958031975,0.6493513808264487
Tijucas,2002,0.3353959838409521,0.5611347209567655,0.4482653523988588
Arvoredo,2002,0.4658748404387504,0.894753449330887,0.6803141448848187
Leoberto Leal,2002,0.2755040727037905,0.47910022394666846,0.37730214832522946
Treviso,2002,0.3838841623303355,0.6062366248853565,0.495060393607846
Balneário Arroio do Silva,2002,0.4068166451191426,0.857186240409426,0.6320014427642844
Treze de Maio,2002,0.41195451947283734,0.6930936878915418,0.5525241036821895
Major Gercino,2002,0.27713449938199264,0.5069522839775393,0.392043391679766
Balneário Camboriú,2002,0.4187352106670684,0.6251062922216163,0.5219207514443424
Macieira,2002,0.348943366688074,0.7598375333013059,0.5543904499946899
Luzerna,2002,0.43941350075712593,0.7271986140833592,0.5833060574202426
Timbó,2002,0.2863899112588026,0.4134573808573692,0.3499236460580859
Luiz Alves,2002,0.25481707121263986,0.3934406737350248,0.3241288724738323
Três Barras,2002,0.3411768433021387,0.8506156026791919,0.5958962229906652
Atalanta,2002,0.3364348852681971,0.5129929685111587,0.4247139268896779
Mafra,2002,0.336999077331954,0.7916580597717869,0.5643285685518704
Timbó Grande,2002,0.29697317527521344,0.7950168144298381,0.5459949948525258
Aurora,2002,0.35237361397621286,0.491837358605931,0.4221054862910719
Siderópolis,2002,0.3733648273921822,0.5715159191160415,0.4724403732541118
Laguna,2002,0.34046806339516655,1.0,0.6702340316975832
Antônio Carlos,2002,0.28647350461445975,0.5407184849626481,0.4135959947885539
Serra Alta,2002,0.454719197955735,0.850096810353613,0.652408004154674
Lajeado Grande,2002,0.478780340238699,0.8236013451543872,0.6511908426965431
Arabutã,2002,0.48590764131317266,0.8110872719486423,0.6484974566309074
Apiúna,2002,0.3257932694066536,0.4366107753451072,0.3812020223758804
Seara,2002,0.48227789772658514,0.8895554126358122,0.6859166551811986
Lages,2002,0.287260329331576,0.4807553422921681,0.38400783581187203
Anitápolis,2002,0.27988655973508614,0.5367778470365637,0.40833220338582493
Taió,2002,0.3098097519887636,0.6324704404802236,0.4711400962344936
Lauro Müller,2002,0.38405725463363183,0.5689828361794124,0.4765200454065221
Tangará,2002,0.34832723270341426,0.6863827253857664,0.5173549790445904
Lebon Régis,2002,0.31760779672060324,0.7304188321614187,0.524013314441011
Armazém,2002,0.41549365660088705,0.6403873970205135,0.5279405268107003
Sombrio,2002,0.3411151856467577,0.74204634363842,0.5415807646425889
Laurentino,2002,0.3649102619210183,0.5419341689595436,0.45342221544028094
Araquari,2002,0.23703281296366607,0.357129462934764,0.29708113794921504
Sul Brasil,2002,0.45132749523913984,0.8568225822888008,0.6540750387639703
Araranguá,2002,0.41259572659392413,0.8227063213027178,0.6176510239483209
Alfredo Wagner,2002,0.26564128744974447,0.48183912694922243,0.3737402071994834
São Miguel da Boa Vista,2002,0.5000761677190104,0.8755732191990223,0.6878246934590164
