municipio,ano,risk_norm_without_GDP,risk_norm_without_GDP_lag1,hazard_index,hazard_index_lag1,hazard_index_lag2,risk_norm_without_GDP_lag2,risk_mean_3yr_without_GDP,climate_risk_index_without_GDP,vulnerability_index_without_GDP,real_gdp,va_industrial_2010,va_agro_2010,log_real_gdp,log_va_industrial_2010,log_va_agro_2010,gdp_growth_log,va_industrial_growth_log,va_agro_growth_log,growth_effect_0_1_risk_lag1_log_points,growth_effect_0_1_risk_lag1_percent_points,impact_note
ABDON BATISTA,2002,0.009973235051049618,,0.483617411832923,,,,,0.0010032096165226263,0.15256354356071702,70160.75912189005,1914.670189876,14868.8353381954,11.158544446854835,7.557300662174553,9.607022713467863,,,,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2003,0.009588151648330762,0.009973235051049618,0.5041463880389957,0.483617411832923,,,,0.0009023589951302049,0.12912509967564526,70829.69800902312,1532.6760010621,15022.380467237,11.168033655135913,7.334770506933622,9.617296399260933,0.009489208281078021,-0.22253015524093112,0.010273685793070086,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2004,0.008444067248892422,0.009588151648330762,0.5801523172494907,0.5041463880389957,0.483617411832923,0.009973235051049618,0.009335151316090933,0.0008229932384870945,0.1021666756603596,61319.44511717786,1274.2585422892,11972.4411839984,11.023852283975106,7.150119752975747,9.39036271961321,-0.14418137116080665,-0.18465075395787522,-0.2269336796477237,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2005,0.0,0.008444067248892422,0.5620198413791724,0.5801523172494907,0.5041463880389957,0.009588151648330762,0.006010739632407728,0.0,0.08944702084959269,54154.30930112135,909.0241860728,9508.4358226857,10.89959283007755,6.812371701164324,9.159934664901781,-0.12425945389755633,-0.3377480518114231,-0.23042805471142813,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2006,0.0,0.0,0.4971921884094106,0.5620198413791724,0.5801523172494907,0.008444067248892422,0.0028146890829641408,0.0,0.1114809663829052,61150.17381564533,1714.2033892541,10364.5590135586,11.021087983558463,7.446703755626578,9.246147478239614,0.12149515348091278,0.6343320544622539,0.08621281333783237,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2007,0.0,0.0,0.4402589391271132,0.4971921884094106,0.5620198413791724,0.0,0.0,0.0,0.17528852486749033,78482.2670052737,2917.4493773438,14761.6219813214,11.270627980229706,7.978465012628443,9.599785982450392,0.2495399966712437,0.5317612570018655,0.35363850421077814,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2008,0.0,0.0,0.5438367920032784,0.4402589391271132,0.4971921884094106,0.0,0.0,0.0,0.21684479310285718,96255.1272056602,3174.4108783278,20083.6369953228,11.474757520400448,8.06287734397726,9.907660682669544,0.20412954017074192,0.08441233134881632,0.307874700219152,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2009,0.006981105396833396,0.0,0.6404214961545704,0.5438367920032784,0.4402589391271132,0.0,0.0023270351322777984,0.0010509406271538148,0.14001144416426559,94171.5565786396,3158.3718457271516,18242.22667502895,11.452873467821036,8.057811935105951,9.811494332659445,-0.021884052579412838,-0.005065408871308463,-0.09616635001009932,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2010,0.009962888396314143,0.006981105396833396,0.4399340046822889,0.6404214961545704,0.5438367920032784,0.0,0.00564799793104918,0.0014746282132936373,0.1601238368431555,89115.35374870073,4888.0,15496.0,11.397686919025348,8.494538500851432,9.648337205086833,-0.055186548795687074,0.43672656574548085,-0.16315712757261203,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2011,0.026659483381558075,0.009962888396314143,0.581886401831631,0.4399340046822889,0.6404214961545704,0.006981105396833396,0.014534492391568538,0.003460967845636846,0.2169922318989067,110213.94307164058,5139.468567643318,15559.65569230474,11.610178692848322,8.544704961594858,9.652436669743649,0.21249177382297368,0.050166460743426455,0.00409946465681621,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2012,0.0695783715998777,0.026659483381558075,0.5789673724252048,0.581886401831631,0.4399340046822889,0.009962888396314143,0.03540024779258331,0.00857184232271515,0.29338552044479227,130958.24915323732,5685.818720084202,14537.837936821792,11.782633842630947,8.645730409902534,9.584510042425821,0.17245514978262477,0.10102544830767535,-0.06792662731782784,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2013,0.10547416125351244,0.0695783715998777,0.6212231962642778,0.5789673724252048,0.581886401831631,0.026659483381558075,0.06723733874498274,0.014263583885866703,0.30982167002583944,128120.82836352302,5058.991141199364,18908.963900617473,11.760729069230784,8.528922363193223,9.847391369068259,-0.021904773400162725,-0.11680804670931089,0.2628813266424377,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2014,0.1207337098047974,0.10547416125351244,0.6058372281446847,0.6212231962642778,0.5789673724252048,0.0695783715998777,0.09859541421939584,0.0162777726096274,0.2294574227503553,112583.46884071577,4322.806641537681,16311.587108819316,11.631450170772109,8.371660155825,9.699630999821338,-0.12927889845867568,-0.15726220736822327,-0.14776036924692093,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
ABDON BATISTA,2015,0.23454032179265372,0.1207337098047974,0.5034522599158244,0.6058372281446847,0.6212231962642778,0.10547416125351244,0.15358273095032118,0.023442865132331937,0.22814378951591824,105883.78587218485,3001.711955555039,14286.420712388066,11.570097411955905,8.006938056742076,9.567064764559476,-0.061352758816203945,-0.36472209908292363,-0.13256623526186218,-0.005601387790995002,-0.5601387790995003,GDP growth model uses lagged risk_norm_without_GDP and controls for industrial value-added growth at 2010 prices.
