municipio,ano,exposure_index
AGUAS DE CHAPECO,2018,0.1033301442833965
AGUAS DE CHAPECO,2019,0.11664596081700418
AGUAS DE CHAPECO,2020,0.09029399919452276
AGUAS DE CHAPECO,2021,0.08361855158580792
AGUAS DE CHAPECO,2022,0.09423703503097104
AGUAS DE CHAPECO,2023,0.0960695100429782
AGUAS FRIAS,2002,0.07530477640552002
AGUAS FRIAS,2003,0.10334337857646156
AGUAS FRIAS,2004,0.15198477143581637
AGUAS FRIAS,2005,0.14261009148741874
AGUAS FRIAS,2006,0.1852273944257364
AGUAS FRIAS,2007,0.1750697501359693
AGUAS FRIAS,2008,0.19658123339526676
AGUAS FRIAS,2009,0.21992007155793353
AGUAS FRIAS,2010,0.12793782825719302
AGUAS FRIAS,2011,0.13624147401591874
AGUAS FRIAS,2012,0.1504171751360412
AGUAS FRIAS,2013,0.14106312583734548
AGUAS FRIAS,2014,0.1572161194749957
AGUAS FRIAS,2015,0.17882787190874408
AGUAS FRIAS,2016,0.20120414052381727
AGUAS FRIAS,2017,0.2071128642627902
AGUAS FRIAS,2018,0.20274475975239364
AGUAS FRIAS,2019,0.22841131710412943
AGUAS FRIAS,2020,0.2396848833818567
AGUAS FRIAS,2021,0.2771030541450209
AGUAS FRIAS,2022,0.21558174376920158
AGUAS FRIAS,2023,0.20444302912116297
AGUAS MORNAS,2002,0.07674886875194933
AGUAS MORNAS,2003,0.07618356379859481
AGUAS MORNAS,2004,0.10841778744132477
AGUAS MORNAS,2005,0.1054558972031558
AGUAS MORNAS,2006,0.1294047133020324
AGUAS MORNAS,2007,0.1355663689223826
AGUAS MORNAS,2008,0.11981030876133261
AGUAS MORNAS,2009,0.1359170384944735
AGUAS MORNAS,2010,0.11329481748649936
AGUAS MORNAS,2011,0.1012320487233874
AGUAS MORNAS,2012,0.09483067186820138
AGUAS MORNAS,2013,0.11108909614073581
AGUAS MORNAS,2014,0.12400061884986661
AGUAS MORNAS,2015,0.12372793631206674
AGUAS MORNAS,2016,0.12823197468769112
AGUAS MORNAS,2017,0.11026911831162789
AGUAS MORNAS,2018,0.11890420345837203
AGUAS MORNAS,2019,0.12829072651609114
AGUAS MORNAS,2020,0.13723803385062078
AGUAS MORNAS,2021,0.12268517345797632
AGUAS MORNAS,2022,0.127221664718551
AGUAS MORNAS,2023,0.12291803218711399
ALFREDO WAGNER,2002,0.10233513473989395
ALFREDO WAGNER,2003,0.10667047356716453
ALFREDO WAGNER,2004,0.1151696021518189
